source,sequence,type,actor,action,label,profile,start_utc,end_utc,start_utc_ns,end_utc_ns,event_wall_ms,status,code,response_chars,response_utf8_bytes,stdlib_import_ns,backend_import_ns,coordinator_ns,dispatch_ns,close_ns,serialize_ns,persist_ns,coverage_timings,consumed_delta
root-outer-events.json,0,,,,prepare,,2026-09-16T09:00:32.557000000Z,2026-09-16T09:00:41.553000000Z,1789549232557000000,1789549241553000000,8996.0,,,,,,,,,,,,{},{}
root-outer-events.json,1,,,,prepare_formal,,2026-09-16T09:07:50.209000000Z,2026-09-16T09:07:59.689000000Z,1789549670209000000,1789549679689000000,9480.0,,,,,,,,,,,,{},{}
events.jsonl,0,settings,,,,,2026-09-16T09:07:56.030785200Z,2026-09-16T09:07:56.031796200Z,1789549676030785200,1789549676031796200,1.011,,,,,,,,,,,,{},{}
events.jsonl,1,owner_metadata,,,,,2026-09-16T09:07:56.033052700Z,2026-09-16T09:07:56.924458800Z,1789549676033052700,1789549676924458800,891.4061,,,,,,,,,,,,{},{}
events.jsonl,2,call,main,reading-template,,False,2026-09-16T09:07:56.925470000Z,2026-09-16T09:07:56.960377600Z,1789549676925470000,1789549676960377600,34.9076,ok,,2296,2320,22412600,22787800,238700,10125400,11800,44200,1655100,"{""/query/budget/wall_ms"": 300000}","{""wall_ms"": 0, ""read_bytes"": 0, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
events.jsonl,3,call,main,reading-start,,False,2026-09-16T09:07:56.960911300Z,2026-09-16T09:07:58.258533500Z,1789549676960911300,1789549678258533500,1297.6222,ok,,576,750,22412600,3800,207200,1295107600,9400,24200,2205800,{},"{""wall_ms"": 0, ""read_bytes"": 0, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
events.jsonl,4,call,main,reading-delegate,,False,2026-09-16T09:07:58.259053100Z,2026-09-16T09:07:59.592691100Z,1789549678259053100,1789549679592691100,1333.638,ok,,2995,3871,22412600,3500,180900,1330944400,10200,81700,2482100,"{""/worker_brief/query/budget/wall_ms"": 300000}","{""wall_ms"": 1328, ""read_bytes"": 4228, ""output_chars"": 2638, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,0,,,Date.now,host_first_timestamp,,2026-09-16T09:08:40.893000000Z,2026-09-16T09:08:40.893000000Z,1789549720893000000,1789549720893000000,0.0,,,,,,,,,,,,{},{}
reader-outer-events.json,1,,,driver mark reader_started --actor reader,mark_reader_started,,2026-09-16T09:08:40.893000000Z,2026-09-16T09:08:42.209000000Z,1789549720893000000,1789549722209000000,1316.0,,,,,,,,,,,,{},{}
reader-outer-events.json,2,,,read-only shell,locate_and_context,,2026-09-16T09:08:50.655000000Z,2026-09-16T09:08:52.131000000Z,1789549730655000000,1789549732131000000,1476.0,,,,,,,,,,,,{},{}
reader-outer-events.json,3,,,read-only shell,read_context,,2026-09-16T09:08:50.655000000Z,2026-09-16T09:08:52.131000000Z,1789549730655000000,1789549732131000000,1476.0,,,,,,,,,,,,{},{}
reader-outer-events.json,4,,,read-only shell,read_skill,,2026-09-16T09:08:50.655000000Z,2026-09-16T09:08:52.131000000Z,1789549730655000000,1789549732131000000,1476.0,,,,,,,,,,,,{},{}
reader-outer-events.json,5,,,read-only shell,read_query_terms,,2026-09-16T09:09:00.069000000Z,2026-09-16T09:09:01.557000000Z,1789549740069000000,1789549741557000000,1488.0,,,,,,,,,,,,{},{}
reader-outer-events.json,6,,,read-only shell,read_ai_reading,,2026-09-16T09:09:00.069000000Z,2026-09-16T09:09:01.557000000Z,1789549740069000000,1789549741557000000,1488.0,,,,,,,,,,,,{},{}
reader-outer-events.json,7,,,read-only shell,read_driver,,2026-09-16T09:09:00.069000000Z,2026-09-16T09:09:01.557000000Z,1789549740069000000,1789549741557000000,1488.0,,,,,,,,,,,,{},{}
reader-outer-events.json,8,,,driver mark reader_started --actor reader,mark_reader_started_correct_path,,2026-09-16T09:09:07.490000000Z,2026-09-16T09:09:08.839000000Z,1789549747490000000,1789549748839000000,1349.0,,,,,,,,,,,,{},{}
reader-outer-events.json,9,,,driver mark reader_started --actor reader,mark_reader_started_escalated,,2026-09-16T09:09:14.275000000Z,2026-09-16T09:09:19.485000000Z,1789549754275000000,1789549759485000000,5210.0,,,,,,,,,,,,{},{}
events.jsonl,5,mark,reader,,reader_started,,2026-09-16T09:09:19.412243000Z,,1789549759412243000,,,,,,,,,,,,,,{},{}
reader-outer-events.json,10,,,driver call reading-view empty.json --actor reader,reading_view_initial,,2026-09-16T09:09:26.285000000Z,2026-09-16T09:09:32.955000000Z,1789549766285000000,1789549772955000000,6670.0,,,,,,,,,,,,{},{}
events.jsonl,6,call,reader,reading-view,,False,2026-09-16T09:09:31.392932500Z,2026-09-16T09:09:32.866020100Z,1789549771392932500,1789549772866020100,1473.0876,ok,,997,1372,22328400,84207900,223700,1383717100,19100,59200,4641900,{},"{""wall_ms"": 1358, ""read_bytes"": 4237, ""output_chars"": 284, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,11,,,read-only shell,read_latency_state,,2026-09-16T09:09:41.261000000Z,2026-09-16T09:09:42.625000000Z,1789549781261000000,1789549782625000000,1364.0,,,,,,,,,,,,{},{}
reader-outer-events.json,12,,,New-Item Run latency requests,create_requests_directory,,2026-09-16T09:10:09.084000000Z,2026-09-16T09:10:13.014000000Z,1789549809084000000,1789549813014000000,3930.0,,,,,,,,,,,,{},{}
reader-outer-events.json,13,,,apply_patch request JSON,construct_recall_request,,2026-09-16T09:10:28.680000000Z,2026-09-16T09:10:34.227000000Z,1789549828680000000,1789549834227000000,5547.0,,,,,,,,,,,,{},{}
reader-outer-events.json,14,,,driver call reading-recall recall.json --actor reader,reading_recall,,2026-09-16T09:10:40.807000000Z,2026-09-16T09:10:48.268000000Z,1789549840807000000,1789549848268000000,7461.0,,,,,,,,,,,,{},{}
events.jsonl,7,call,reader,reading-recall,,False,2026-09-16T09:10:46.659801700Z,2026-09-16T09:10:48.166770200Z,1789549846659801700,1789549848166770200,1506.9685,rejected,VALIDATION,492,552,25661000,78839400,248500,1425139100,24600,41100,2869300,{},"{""wall_ms"": 1375, ""read_bytes"": 4237, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,15,,,apply_patch remove untranslated protected term,repair_recall_request,,2026-09-16T09:10:54.899000000Z,2026-09-16T09:11:01.591000000Z,1789549854899000000,1789549861591000000,6692.0,,,,,,,,,,,,{},{}
reader-outer-events.json,16,,,driver call reading-recall recall.json --actor reader,reading_recall_retry,,2026-09-16T09:12:52.667000000Z,2026-09-16T09:13:42.164000000Z,1789549972667000000,1789550022164000000,49497.0,,,,,,,,,,,,{},{}
events.jsonl,8,call,reader,reading-recall,,False,2026-09-16T09:13:12.460223400Z,2026-09-16T09:14:32.248338800Z,1789549992460223400,1789550072248338800,79788.1154,rejected,BUDGET,505,589,20441900,79225100,254100,79706278300,14300,30800,2855300,{},"{""wall_ms"": 79547, ""read_bytes"": 7011215, ""output_chars"": 77050, ""candidates"": 60, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 2440, ""model_calls"": 11, ""model_input_tokens"": 2440, ""model_output_tokens"": 0, ""rerank_items"": 7}"
reader-outer-events.json,17,,,poll exec session 14304,reading_recall_retry_poll_1,,2026-09-16T09:13:52.296000000Z,2026-09-16T09:14:22.308000000Z,1789550032296000000,1789550062308000000,30012.0,,,,,,,,,,,,{},{}
