seq,key,requested,used_before,used_after,held_before,remaining_before,limit,success,site
24,read_bytes,7387,161105,168492,0,33393327,33554432,True,reader.py:42:read_json > reader.py:80:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
25,read_bytes,7322,168492,175814,0,33385940,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
26,read_bytes,155,175814,175969,0,33378618,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
27,read_bytes,9508,175969,185477,0,33378463,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
28,read_bytes,155,185477,185632,0,33368955,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
29,read_bytes,8077,185632,193709,0,33368800,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
30,read_bytes,155,193709,193864,0,33360723,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
31,read_bytes,10021,193864,203885,0,33360568,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
32,read_bytes,155,203885,204040,0,33350547,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
33,read_bytes,8528,204040,212568,0,33350392,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
